workload,prompt_len_target,layout,strategy,cache_prompt,cache_reuse,runs,samples,median_ttft_s,p95_ttft_s,median_total_latency_s,median_decode_latency_s,median_tokens_per_s,median_prompt_tokens,median_completion_tokens,peak_server_rss_mb,front_volatile_median_ttft_s,ttft_speedup_vs_front_volatile,reuse0_median_ttft_s,ttft_speedup_vs_reuse0
coding,8192,stable_prefix,stable_prefix,True,0,1,19,0.1812108750000334,0.19271514970005219,1.5063172090003718,1.3099880839999969,48.85540622978686,10233.0,64.0,2742.53125,,,0.1812108750000334,1.0
coding,8192,stable_prefix,stable_prefix,True,64,1,19,0.1873597089997929,0.20670749940018132,1.5632195830003184,1.3767756249999366,46.48542495804496,10233.0,64.0,2742.546875,,,0.1812108750000334,0.967181663375842
coding,8192,stable_prefix,stable_prefix,True,128,1,19,0.1997105829996144,0.21458177880067517,1.856006582998816,1.6526792090007802,38.724998566839105,10233.0,64.0,2745.234375,,,0.1812108750000334,0.9073674127744312
coding,8192,stable_prefix,stable_prefix,True,256,1,19,0.1988424159990245,0.21526588299948338,1.8635665829988284,1.6587059169996792,38.584295952693815,10233.0,64.0,2742.5,,,0.1812108750000334,0.9113290747831309
coding,8192,stable_prefix,stable_prefix,True,512,1,19,0.2031061659999977,0.21201605479964195,1.8774395830005233,1.673715875000198,38.2382702798899,10233.0,64.0,2742.734375,,,0.1812108750000334,0.8921978026015983
rag,8192,stable_prefix,stable_prefix,True,0,1,19,0.1517776660002709,0.16121737090106758,0.4716292080011044,0.3198515420008334,53.27962373376016,8039.0,17.0,2732.40625,,,0.1517776660002709,1.0
rag,8192,stable_prefix,stable_prefix,True,64,1,19,0.1693328750006912,0.17813997059911338,0.558430541999769,0.3881962499999645,43.167879359542695,8039.0,17.0,2732.5625,,,0.1517776660002709,0.8963272252930884
rag,8192,stable_prefix,stable_prefix,True,128,1,19,0.1708331669997278,0.17966172890010057,0.5575390829999378,0.3872100000007776,43.908909811234366,8039.0,17.0,2732.6875,,,0.1517776660002709,0.8884554952991811
rag,8192,stable_prefix,stable_prefix,True,256,1,19,0.1713035409993608,0.18178190479920886,0.5602297079985874,0.3913818329983769,43.580172254668305,8039.0,17.0,2732.609375,,,0.1517776660002709,0.8860159288875251
rag,8192,stable_prefix,stable_prefix,True,512,1,19,0.169705584001349,0.17963244640086481,0.5513750000009168,0.3848982920007984,43.779976885602935,8039.0,17.0,2732.4375,,,0.1517776660002709,0.8943587030056973
